L_CPI,1 year2014,2 year2015,3 year2016,4 year2017,5 year2018,6 year2019,7 year2020,8 year2021,9 year2022,10 year2023,11 year2024,12 year2025,13 year2026,14 year2027,15 year2028,16 year2029,17 year2030,18 year2031,19 year2032,20 year2033,21 year2034,22 year2035,23 year2036,24 year2037,25 year2038,26 year2039,27 year2040,28 year2041,29 year2042,30 year2043,31 year2044,32 year2045,33 year2046,34 year2047,35 year2048,36 year2049,37 year2050,38 year2051,39 year2052,40 year2053,41 year2054,42 year2055,43 year2056,44 year2057,45 year2058,46 year2059,47 year2060,Total
1 Australia,1,0.9989,1.0006,1.0046,1.0103,1.0174,1.0257,1.0341,1.0452,1.0586,1.0744,1.0927,1.114,1.1389,1.1686,1.2047,1.2503,1.3123,1.3925,1.5005,1.647,1.8389,2.0803,2.3581,2.6381,2.898,3.123,3.2775,3.4177,3.5447,3.6579,3.7568,3.8417,3.9129,3.971,4.0168,4.051,4.027,4.0125,4.0037,3.9968,3.9891,3.979,3.9662,3.9503,3.9316,3.9102,116.2419
2 New_Zealand,1,0.9998,1.001,1.003,1.0057,1.0086,1.0117,1.0172,1.0231,1.0293,1.0355,1.0418,1.0481,1.0544,1.0606,1.0667,1.073,1.083,1.0918,1.1,1.1077,1.1145,1.1201,1.1234,1.1232,1.1182,1.1076,1.0984,1.0868,1.0734,1.0589,1.0435,1.0276,1.0116,0.9955,0.9797,0.9643,0.9535,0.9431,0.933,0.9233,0.9138,0.9047,0.8958,0.8873,0.8793,0.8716,48.0142
3 China,1,1.0126,1.0214,1.0277,1.0323,1.0358,1.0384,1.0454,1.052,1.0582,1.0639,1.0691,1.0739,1.0779,1.081,1.0829,1.0833,1.076,1.0689,1.0602,1.0483,1.0319,1.0104,0.9847,0.957,0.9289,0.9015,0.8795,0.8606,0.8441,0.8296,0.8167,0.8053,0.7952,0.7863,0.7785,0.7718,0.7695,0.7675,0.7658,0.7646,0.764,0.7639,0.7643,0.7651,0.7663,0.7678,43.7502
4 India,1,0.9923,0.9861,0.9814,0.9778,0.9751,0.9731,0.9862,0.9954,1.0016,1.0056,1.0082,1.0102,1.0116,1.0124,1.0126,1.0121,1.0204,1.0238,1.0227,1.0169,1.0058,0.989,0.9667,0.9403,0.9112,0.8803,0.8612,0.8409,0.8205,0.8007,0.7817,0.764,0.7475,0.7323,0.7183,0.7056,0.7025,0.6983,0.6936,0.6888,0.6842,0.6797,0.6756,0.6718,0.6683,0.6653,41.3195
5 Japan,1,1.0239,1.0452,1.0644,1.0815,1.0965,1.1094,1.1206,1.1314,1.1416,1.1507,1.1587,1.1654,1.1708,1.1747,1.1773,1.1783,1.1751,1.171,1.1655,1.1578,1.147,1.1317,1.1114,1.086,1.0558,1.0211,0.9907,0.9599,0.9291,0.8985,0.8681,0.8382,0.809,0.7809,0.754,0.7287,0.7116,0.6948,0.6787,0.6637,0.6497,0.6369,0.6252,0.6144,0.6046,0.5956,45.2451
6 South_Korea,1,1.0177,1.0338,1.0485,1.0621,1.0745,1.0858,1.0973,1.1088,1.12,1.1307,1.1407,1.1501,1.1587,1.1663,1.1731,1.1788,1.182,1.1841,1.1848,1.1834,1.1789,1.1704,1.1572,1.1397,1.1181,1.0927,1.0702,1.0474,1.0245,1.0016,0.9786,0.9556,0.9328,0.9103,0.8883,0.8669,0.8517,0.8361,0.8205,0.8053,0.7908,0.777,0.764,0.7518,0.7404,0.7298,47.8817
7 Indonesia,1,0.9914,0.9845,0.9794,0.9757,0.973,0.9712,0.9835,0.9909,0.9949,0.9967,0.9974,0.9979,0.9983,0.9989,0.9997,1.0007,1.0093,1.0139,1.0158,1.0155,1.0131,1.0083,1.001,0.9916,0.9802,0.9671,0.9618,0.955,0.9474,0.9396,0.9319,0.9245,0.9175,0.9111,0.9053,0.9002,0.9019,0.9019,0.901,0.8999,0.8986,0.8973,0.8962,0.8954,0.8951,0.8952,45.1268
8 France,1,1.0035,1.0068,1.01,1.013,1.0158,1.0182,1.0227,1.0274,1.032,1.0365,1.0407,1.0448,1.0486,1.0521,1.0555,1.0589,1.0651,1.0706,1.0756,1.0801,1.0837,1.0855,1.0849,1.0812,1.074,1.0625,1.0541,1.0444,1.034,1.0229,1.0113,0.9993,0.9871,0.9749,0.9627,0.9507,0.9439,0.9363,0.9285,0.9208,0.9132,0.9057,0.8986,0.8916,0.885,0.8786,47.3935
9 Germany,1,1.019,1.0366,1.053,1.0682,1.0822,1.0949,1.1072,1.119,1.1305,1.1413,1.1515,1.1611,1.1699,1.1781,1.1857,1.1928,1.2022,1.2103,1.2173,1.2231,1.2271,1.2286,1.2267,1.2212,1.2118,1.1984,1.1882,1.1769,1.1646,1.1518,1.1383,1.1244,1.1102,1.0958,1.0812,1.0667,1.0577,1.0477,1.0374,1.027,1.0168,1.0068,0.9971,0.9876,0.9786,0.9699,52.4823
10 Italy,1,1.002,1.0051,1.0091,1.0136,1.0184,1.0234,1.0319,1.0404,1.0489,1.0571,1.0649,1.0723,1.0794,1.086,1.0923,1.0984,1.1065,1.1137,1.1202,1.1256,1.1297,1.1317,1.1308,1.1271,1.1201,1.1096,1.1033,1.0959,1.0879,1.0792,1.0701,1.0607,1.0511,1.0414,1.0316,1.0219,1.019,1.0147,1.0095,1.0039,0.9979,0.9919,0.9857,0.9796,0.9736,0.9678,49.5446
11 UK,1,1.0079,1.0147,1.0207,1.0259,1.0302,1.0338,1.039,1.0438,1.0481,1.052,1.0554,1.0583,1.0609,1.0633,1.0656,1.068,1.073,1.0771,1.0807,1.0835,1.0852,1.0848,1.0815,1.075,1.0647,1.0504,1.0404,1.0295,1.0182,1.0066,0.9949,0.9832,0.9716,0.9602,0.949,0.9383,0.9331,0.9271,0.9208,0.9144,0.9082,0.9023,0.8965,0.8909,0.8856,0.8805,47.3948
12 Russia,1,1.0081,1.0176,1.0276,1.0379,1.0481,1.0583,1.0788,1.0965,1.1124,1.1268,1.1393,1.1499,1.1602,1.173,1.1902,1.2122,1.2427,1.2766,1.3129,1.3509,1.3896,1.4277,1.4637,1.4974,1.5287,1.5571,1.5906,1.6261,1.6629,1.7007,1.7391,1.7779,1.8169,1.8556,1.8937,1.9305,1.9753,2.0163,2.054,2.0883,2.1195,2.1475,2.1726,2.1947,2.214,2.2307,71.4913
13 Canada,1,1.0094,1.0177,1.0252,1.0319,1.0377,1.0429,1.0493,1.0556,1.0618,1.0678,1.0735,1.0791,1.0844,1.0894,1.0942,1.0989,1.1071,1.1143,1.1205,1.1259,1.1302,1.1327,1.1331,1.1313,1.1268,1.1191,1.1137,1.1079,1.1019,1.0959,1.0896,1.0831,1.0764,1.0695,1.0623,1.0549,1.0502,1.046,1.0423,1.039,1.036,1.0329,1.0299,1.0268,1.0236,1.0203,50.362
