"","output.A[[1]][, 1]","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060"
"1","1 Land",0,0,0,0,0,0,0,0,0,0
"2","2 Labour",32.44,194.43,339.55,484.68,605.87,727.05,821.35,915.66,978.35,1041.03
"3","3 Capital",147.5,976.11,2085.83,3489.77,5270.83,7379.41,9916.4,12783.66,16288.96,20386.08
"4","4 NatlRes",0,0,0,0,0,0,0,0,0,0
"5","5 Rice",12.45,91.95,232.26,393.95,587.04,711.28,909.15,1113.26,1314.39,1488.98
"6","6 Wheat",50.51,335.14,657.84,968.73,1287.69,1497.15,1728.05,2043.96,2352.7,2697.55
"7","7 Oth_grains",43.97,278.04,576.48,868.05,1195.72,1499.01,1914.02,2320.98,2781.85,3217.44
"8","8 Veg_fruit",53.29,342.68,730.75,1097.75,1497.18,1819.22,2248.78,2647.47,3121.46,3542.95
"9","9 Oil_seeds",-12.45,-34.82,11.47,102.17,206.22,346.08,544.51,705.87,845.18,964.94
"10","10 Cane_beet",1.95,41.06,121.75,232.07,368.44,536.65,707.39,849.18,987.22,1114.5
"11","11 Fibres_crops",81.79,543.82,1070.51,1723.02,2400.97,2988.37,3531,4105.33,4689.14,5323.85
"12","12 Oth_crops",49.62,283,590.3,937.95,1324.91,1750.99,2267.26,2734.57,3206.16,3651.81
"13","13 Live_cattle",70.39,437.1,894.23,1338.69,1863.04,2299.38,2808.14,3277.06,3914.93,4484.56
"14","14 Live_pig",89.42,552.38,1152.76,1762.37,2326.6,2588.68,3101.76,3774.25,4679.86,5694.84
"15","15 Live_poultry",88.79,557.23,1165.15,1770.4,2364.3,2657.42,3168.76,3799.48,4693.08,5682.54
"16","16 Raw_milk",82.36,484.14,957.34,1386.67,1866.97,2315.81,2863.35,3370.24,3950.73,4471.76
"17","17 Meat_cattle",105.8,633.48,1312.07,2012.61,2935,3951.65,5045.91,6105.82,7528.35,9067.37
"18","18 Meat_pork",142.3,809.77,1662.52,2603.26,3516.7,3656.18,4047.2,4940.92,6387.72,9101.73
"19","19 Meat_poultry",116.43,631.73,1305.82,2029.92,2909.48,3463.94,4195.52,5266.67,6655.4,8228.78
"20","20 Fishery",57.21,322.02,612.34,841.67,1029.09,1149.39,1328.77,1494.33,1718.99,1941.35
"21","21 Wool",135.94,803.72,1581.33,2470.47,3559.49,3848.78,4342.93,4976.35,5779.49,6473.02
"22","22 Forestry",56.45,337.79,696.03,997.65,1275.75,1453.96,1859.68,2298.44,2939.42,3442.67
"23","23 Veg_oils",47.4,279.95,636.11,1026.08,1449.32,1758.67,2096.12,2411.14,2816.88,3277.27
"24","24 Dairy_milk",115.63,671.53,1388.18,2071.14,2975.93,3985.82,5296.07,6620.44,8284.79,9951.17
"25","25 Proc_rice",41.89,280.04,660.92,1038.98,1490.37,1863.77,2598.06,3577.11,5009.49,6700.23
"26","26 Sugar",52.17,303.06,630.64,994.09,1446.88,2032.08,2613.51,3150.14,3743.31,4375.82
"27","27 Oth_foods",68.99,404.89,811.63,1218.51,1676.04,2106.24,2628.59,3142.95,3739.14,4344.44
"28","28 Beve_tobacco",69.32,414.89,839.8,1269.74,1772.15,2269.05,2858.37,3420.06,4052.78,4644.67
"29","29 Farm_Forest",129.05,689.79,1335.27,2020.97,2497.99,2584.58,3024.05,3828.17,4955.82,6429.94
"30","30 COL",70.48,379.74,685.06,900.89,1032.7,1067.64,1090.37,1095.68,1108.52,1090.43
"31","31 OIL",51.92,257.57,430.48,571.63,673.49,730.53,770.34,794.01,813.01,821.96
"32","32 GAS",117.11,873.7,1942.66,2862.48,4350.16,7062.99,11908.93,20182.87,28204.43,35388.41
"33","33 P_C",60.53,326.31,615.01,874.26,1140.35,1366.39,1650.65,1905.58,2249.75,2573.81
"34","34 ELY",90.56,537.99,1102.08,1696.42,2371.37,3028.09,3859.3,4708.68,5736.91,6772.32
"35","35 I_S",138.39,834.31,1663.5,2792.72,4303.93,6820.97,10381.48,15981.82,22281.63,30650.65
"36","36 OTP",101.11,604.54,1193.52,1836.3,2537.06,3259.31,4069.84,4921.7,5886.26,6912.35
"37","37 Oth_trans",120.02,696.49,1354.55,2087.9,2914.68,3831.02,4912.09,6104.48,7410.91,8810.62
"38","38 Ene_Intens",155.16,916.09,1865.72,3037.55,4079.04,4897.54,5961.21,6950.12,8204.62,9221.5
"39","39 Machi_equip",150.96,907.99,1904.82,3130.67,4619.71,6456.93,9049.53,12382.88,16902.35,23023.43
"40","40 Services",117.01,739.8,1610.93,2528.8,3734.99,5024.16,6707.97,8417.26,10790.46,13232.44
"41","41 oxt",94.66,590.12,1156.03,1835.5,2558.03,2973.55,3283.05,3521.04,3842.96,4123.01
"42","42 chm",143.39,785.23,1577.53,2575.82,3722.88,5135.25,6939.6,9146.55,11557.44,14327.28
"43","43 wtr",104.57,646.43,1350.32,2123.29,3105.34,4209.92,5591.79,7099.31,8941.6,10840.67
"44","44 CGDS",135.19,953.15,2284.28,3525.96,5404.83,7014.83,9436.33,11264.88,14792.3,17420.48
